Finger Velocity,Scap_X,Scap_Y,Scap_Z,Shoulder horiz abd-adduction,Shoulder flexion-extension,Shoulder internal-external rotation,elbow flexion-extension,forearm pronation-supination,wrist flexion-extension,wrist radial-ulnar deviation
4.04883599162071,8.95383810295278,-17.1688151585111,1.27587124715556,5.96016450313445,-7.95818736061161,-1.70669458994473,16.7055137619076,-26.3677253916391,-23.4320192804692,13.4068993947711
3.83597343322344,9.07385193591926,-17.131465681692,1.24326437286193,6.11012294782541,-7.93964321343185,-1.65232832249636,16.1056230146392,-26.498991207834,-23.0676964211193,13.108186073605
3.62733125461506,9.17918773886469,-17.0936124302604,1.21140738781418,6.25530517727554,-7.93010081635267,-1.59522768700051,15.5385415320329,-26.6332025295989,-22.7315294071571,12.831832844779
3.42213815584272,9.27048455067694,-17.0554374728985,1.18012781499892,6.39588159579108,-7.92912184587639,-1.53587903048188,15.0051592077171,-26.7702371734024,-22.4245678463064,12.5783818641135
3.21967146144333,9.34846253242329,-17.0171190766224,1.14927783204452,6.53203661995333,-7.93620680140581,-1.47485062184399,14.5061830029099,-26.9098656344844,-22.1476865719285,12.3482042376595
3.01930036192432,9.41391442630016,-16.9788266603378,1.11873633995159,6.6639689508463,-7.95080388979791,-1.41276816364227,14.0421083799064,-27.0517540197684,-21.9015584614702,12.1414899730749
2.82052303933465,9.46769624469391,-16.9407166006228,1.08841021375951,6.79189066382906,-7.97231830956817,-1.35029061378821,13.6131962640955,-27.1954693849578,-21.6866280422783,11.9582392557924
2.62299594971528,9.51071732976692,-16.9029289859419,1.05823474548437,6.91602519460422,-8.00012164364469,-1.28808709690756,13.2194560536267,-27.3404873447472,-21.5030872002794,11.7982554580093
2.42655436489916,9.54392992887196,-16.8655853653073,1.02817331283254,7.03660431045978,-8.03356106999433,-1.22681557379771,12.8606350042391,-27.486201827824,-21.3508542564831,11.6611402825277
2.23122411273798,9.56831843002642,-16.8287874828195,0.998216327896752,7.15386417367013,-8.07196812516688,-1.16710380897612,12.5362141241612,-27.6319368295849,-21.2295575420313,11.5462914138956
2.03722525035317,9.58488839529042,-16.7926169330448,0.968379539083685,7.26804063401738,-8.11466680731131,-1.10953304428026,12.2454105239441,-27.7769599655057,-21.1385244511069,11.452903048647
1.84496917097402,9.5946555203417,-16.757135622773,0.938701775935293,7.37936392598241,-8.16098087136161,-1.05462465997936,11.9871859852547,-27.92049754971,-21.0767768070046,11.3799697054387
1.65505147822084,9.59863463939248,-16.7223868920228,0.90924223824367,7.48805298643447,-8.21024023672121,-1.00282998649386,11.7602613485499,-28.0617508295485,-21.0430331774365,11.3262936872452
